"","MasksPresented","MaskMaxIntensity_Latency","MaskMaxIntensity_FacialFear","MaskMaxIntensity_VocalDistress","MaskMaxIntensity_BodilyFear","MaskMaxIntensity_StartleResponse","MaskMaxIntensity_EscapeBehavior","MaskAverageScore_Latency","MaskAverageScore_FacialFear","MaskAverageScore_VocalDistress","MaskAverageScore_BodilyFear","MaskAverageScore_StartleResponse","MaskAverageScore_EscapeBehavior","MaskSummedScore_Latency","MaskSummedScore_FacialFear","MaskSummedScore_VocalDistress","MaskSummedScore_BodilyFear","MaskSummedScore_StartleResponse","MaskSummedScore_EscapeBehavior"
"wunifrac.PC.1",0.321151342264444,0.882729406039621,0.866368547375827,0.806059830750232,0.905978088593296,0.460051704208642,0.786140722656052,0.778237086740708,0.75494629599906,0.905497244123632,0.75707620545594,0.59828658158083,0.730572982190316,0.917313808627016,0.884665310026891,0.755550607534747,0.907841858149218,0.772789396423157,0.925576306872468
"wunifrac.PC.2",0.720304776053636,0.267594199153561,0.201505519208745,0.178531223894077,0.56281612048334,0.327864926034845,0.64424166121132,0.383171920292761,0.248752662140598,0.369543163809765,0.753895994610179,0.625255866387278,0.604928976648949,0.40500555362167,0.266576856702001,0.397447654951391,0.775051848087186,0.656068845514298,0.686448008987667
"wunifrac.PC.3",0.361999298925458,0.0481571633949799,0.0465337057319698,0.161022716389686,0.0352583265952471,0.24428907265877,0.0601807459569785,0.0452516031420116,0.018756713719333,0.0655148812164646,0.0643482737170118,0.414452080711353,0.0322932656969499,0.0363725476611015,0.0148245847412843,0.0529341681387519,0.0502863378548082,0.358979700335638,0.0310819919317707
"wunifrac.PC.4",0.322999690510996,0.02526287713282,0.0680739813907404,0.0845417580441358,0.451054906264274,0.573193557031345,0.595118081740602,0.0570180895514037,0.0977139294126834,0.101114102442624,0.409498941741549,0.559645286010864,0.287849245815611,0.0569732908257049,0.0963545454046608,0.101215907475993,0.394230028519065,0.55852554621689,0.305297622651281
"unifrac.PC.1",0.783349702269402,0.173513205081218,0.0884700446811905,0.131664955246616,0.113091499771619,0.829240854193803,0.211144602416285,0.166685976822461,0.187894576345171,0.397110943659302,0.146336327763612,0.974261838703023,0.155405416912642,0.193176701381494,0.213724145775481,0.430143782585102,0.171601812170124,0.834547377340576,0.230438416187832
"unifrac.PC.2",0.990398654629069,0.178974453236239,0.203289073574553,0.232576992342594,0.404587538783167,0.615944980528963,0.547030412781364,0.424317349117568,0.23834188449628,0.365602130734618,0.341084931859692,0.878486193797948,0.932762185083659,0.412400772163897,0.233005879670954,0.350453412133151,0.329469191788008,0.928178433650948,0.957080490160103
"unifrac.PC.3",0.144920240600135,0.519601286541998,0.782884730462108,0.933024580657975,0.817923713555312,0.774479389102158,0.426291333550369,0.839922916936952,0.856643773160291,0.836173227557201,0.747362030175353,0.998220544107167,0.999836782361487,0.964943842502503,0.973556605522808,0.70479715692252,0.627790506925348,0.865360919066913,0.718236457054076
"unifrac.PC.4",0.0738840007823321,0.857589052971495,0.819767933872061,0.80419405458295,0.244419055018938,0.0339162926747825,0.964495762156395,0.261275369312062,0.332231029763717,0.173916622032555,0.102248405137439,0.0160546889953082,0.625705204015098,0.291006780529791,0.362192333709509,0.209690267135401,0.121035419414926,0.0194478210183029,0.771740484430538
"chao1",0.156717806848128,0.865439106685301,0.592668653754441,0.730307328197198,0.369737127161762,0.662495235703452,0.775455424373653,0.849405245484458,0.877902206598419,0.693911456988522,0.657745788666383,0.499431974186782,0.626101633386343,0.738456955708983,0.990146342554845,0.581206926290088,0.550161461929131,0.404920898000205,0.44217382472625
"observed_otus",0.0887082935713299,0.925922008124279,0.592466036642823,0.871284887770322,0.216690648902653,0.318361947797753,0.790080423210122,0.743275220403257,0.898952354217075,0.525754301311829,0.336558019489147,0.219429369663814,0.759516674659595,0.640350551126092,0.793878245855714,0.428600942746479,0.267535755452263,0.190920425999456,0.531378860919988
"PD_whole_tree",0.00150593151285755,0.915906608884644,0.632115082216767,0.765285947767928,0.159298438546254,0.70660763352273,0.347760008823446,0.557091100711068,0.788082622512988,0.310359649322047,0.191943802685321,0.211119361017879,0.321408946748011,0.424061130118528,0.637534523351758,0.208996166180676,0.1232031124266,0.154295671618254,0.154469339624407
"shannon",0.0776724158022548,0.119726654607198,0.289864413400482,0.252130112827335,0.00441757557775178,0.10305679716941,0.0562810814660634,0.0950590893238234,0.0822231384130405,0.0789808823778789,0.0107467971330834,0.108216197126927,0.162534263690775,0.069463959720653,0.0605644520162416,0.0529196879331346,0.00629838340728123,0.115763118181241,0.0907550857670959
